HUD frame time nsec:,3828000

Range Index,Elapsed Time, First Event,Last Event
0,16576,1,1
1,42432,3,3
2,69696,57,57
3,498144,78,78
4,121248,90,90
5,30400,98,98
6,105856,107,107
7,7833184,142,142
8,105600,146,146
9,1355552,154,154
10,19008,158,158
11,1080352,199,199
12,672,226,226
13,672,234,234
14,672,242,242
15,672,250,250
16,672,258,258
17,672,289,289
18,704,299,299
19,672,309,309
20,832,319,319
21,672,329,329
22,672,380,380
23,672,428,428
24,1282272,470,470

Range Index,Elapsed Time, First Event,Last Event
0,9760,1,1
1,21728,3,3
2,42048,57,57
3,252512,78,78
4,67136,90,90
5,15520,98,98
6,55840,107,107
7,4873120,142,142
8,55104,146,146
9,745504,154,154
10,29376,158,158
11,598016,199,199
12,704,226,226
13,672,234,234
14,672,242,242
15,672,250,250
16,672,258,258
17,704,289,289
18,672,299,299
19,704,309,309
20,704,319,319
21,672,329,329
22,3344128,390,390

Range Index,Elapsed Time, First Event,Last Event
0,9888,1,1
1,21568,3,3
2,41792,57,57
3,252448,78,78
4,67168,90,90
5,15488,98,98
6,55680,107,107
7,4891808,142,142
8,55168,146,146
9,746368,154,154
10,11744,158,158
11,693184,199,199
12,1088,226,226
13,960,234,234
14,864,242,242
15,960,250,250
16,736,258,258
17,704,289,289
18,1184,299,299
19,672,309,309
20,800,319,319
21,1152,329,329
22,704,380,380
23,736,428,428
24,1216,460,460
25,947008,502,502
